price,bedrooms,bathrooms,area,property_type,city,region,latitude,longitude,agency,price_per_m
7500000,3,3,200,Apartment,6th of October,Giza,30.0076608,31.0894755,Property Hills Plus,37500
5100000,4,3,205,Apartment,New Cairo,Cairo,30.01321,31.48737,Bakka Investments,24878
7000000,3,3,215,Apartment,6th of October,Giza,30.013687,31.0706419,Property Hills Plus,32558
29000000,4,5,285,Twin House,Katameya,Cairo,30.0288434,31.4075884,Egypt Best Properties (EBP,101754
34800000,5,5,290,Villa,New Capital City,Cairo,30.0029471,31.595582,Egypt Best Properties (EBP,120000
5900000,3,3,170,Apartment,New Cairo,Cairo,30.07349031,31.60085522,Green Home,34705
5800000,3,3,250,Apartment,Sheikh Zayed,Giza,30.054824,30.9546695,El mamlaka,23200
6800000,3,3,240,Apartment,Sheikh Zayed,Giza,30.0351558,30.9440256,El mamlaka,28333
5100000,3,2,165,Apartment,Sheikh Zayed,Giza,30.0537,30.99104,El mamlaka,30909
10000000,4,3,224,Apartment,Smoha,Alexandria,31.2155235,29.9420061,Remax professional,44642
22832000,3,4,206,Townhouse,Sheikh Zayed,Giza,30.0658972,30.8982908,Gate Real Estate,110834
18900000,3,4,205,Apartment,Katameya,Cairo,30.0288434,31.4075884,Egypt Best Properties (EBP,92195
8500000,3,3,151,Apartment,6th of October,Giza,29.8561331,30.9018623,Labib investments,56291
51000000,6,6,800,Villa,Madinaty,Cairo,30.09177585,31.6426486,Tiger for real estate,63750
3700000,2,1,77,Apartment,Madinaty,Cairo,30.09177585,31.6426486,Owner plus,48051
5675000,3,3,227,Apartment,Zahraa Al Maadi,Cairo,29.979887358979,31.314718290157,El mamlaka,25000
3825000,3,3,153,Apartment,Zahraa Al Maadi,Cairo,29.979887358979,31.314718290157,El mamlaka,25000
6800000,3,3,220,Apartment,Sheikh Zayed,Giza,30.0351558,30.9440256,El mamlaka,30909
3150000,2,1,126,Apartment,Zahraa Al Maadi,Cairo,29.979887358979,31.314718290157,El mamlaka,25000
8500000,3,3,160,Townhouse,Mostakbal City,Cairo,30.0941611,31.7041108,premier Properties,53125
8630000,2,2,122,Apartment,Mostakbal City,Cairo,30.0669117,31.3375553,New Avenue,70737
26650000,6,5,340,Townhouse,New Cairo,Cairo,30.0202659,31.5409692,New Avenue,78382
670000,2,1,75,Apartment,Nakheel,Alexandria,31.24605,29.99844,Isqan,8933
18000000,5,5,230,Townhouse,Amreya,Alexandria,31.158448,29.95946,Property Hills One 1,78260
11000000,3,3,190,Apartment,Mostakbal City,Cairo,30.0753933,31.6265648,Core living - Mountain View,57894
9500000,4,2,329,Villa,Shorouk City,Cairo,30.1158572,31.6235277,Property Hills One 1,28875
26500000,3,4,270,Apartment,New Cairo,Cairo,30.0259103,31.5359166,New Avenue,98148
7300000,2,2,140,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Capital Agency,52142
7100000,2,2,130,Apartment,New Cairo,Cairo,30.0870528,31.5124185,Capital Agency,54615
7000000,2,2,155,Apartment,Katameya,Cairo,29.980463,31.3854644,Capital Agency,45161
9800000,3,2,131,Apartment,New Cairo,Cairo,30.0600801,31.5985531,Capital Agency,74809
18200000,3,3,144,Villa,Makadi Bay,Red Sea,26.9637262,33.8799191,Property Hills One 1,126388
22500000,6,5,261,Villa,Shorouk City,Cairo,30.1158572,31.6235277,Property Hills One 1,86206
18943500,3,4,190,Villa,North Coast,Matruh,27.631819579758,31.179296956131,Property Hills One 1,99702
18000000,4,4,240,Villa,Katameya,Cairo,29.9819025,31.3772485,Property Hills One 1,75000
50100000,5,6,286,Villa,New Cairo,Cairo,29.9771006,31.5720476,Java for real estate,175174
